Class name,Department,Course Title,Description,Unit,Type,Year,Semester,Available
COMP 310,Computer Science,"Automata, Languages, and Computation","Study of the relation of languages (i.e. sets of strings) and machines for processing these languages, with emphasis on classes of languages and corresponding classes of machines. Phrase structure languages and grammar. Types of grammar and classes of languages. Regular languages and finite state automata. Context-free languages and pushdown automata. Unrestricted languages and Turing Machines. Computability models of Turing, Church, Markov, and McCarthy. Applications to programming languages, compiler design, and program design and testing.",3,LEC,2010,Spring,TRUE

MATH 482,Mathematics,Combined Algorithm,"some computer programming experience. Computer oriented study of seminumerical and non-numerical algorithms. Sorting, tree searching, generation of combinatorial structures, algorithm proof techniques, best algorithms, programming complexity.",3,LEC,2010,Spring,TRUE

COMP 380,Computer Science,Introduction to Software Engineering,"Concepts and techniques for systems engineering, requirements analysis, design, implementation and testing of large scale computer systems. Principles of software engineering for production of reliable, maintainable and portable software products. Emphasis on object-oriented analysis and design techniques. Topics include unit, integration and systems testing, configuration management, software quality assurance practices, and an introduction to Computer Aided Software Engineering (CASE). ",2,LEC,2010,Spring,TRUE
COMP 380L,Computer Science,Introduction to Software Engineering Lab,Projects are implemented to reinforce the lectures. Three hours lab work per week.,1,LAB,2010,Spring,TRUE

COMP 450,Computer Science,Societal Issues in Computing,"Survey course on the role of the digital computer in modern society. The dangers of the misuse of computers (as in the invasion of privacy), as well as the proper and intelligent use of the machines, are discussed.",3,LEC,2010,Fall,TRUE

COMP 490,Computer Science,Senior Design Project ,"Project-oriented course to allow students to apply their knowledge of software engineering to the design and implementation of a system to solve a real world problem. Students select and specify a suitable problem, investigate design alternatives and select an appropriate one, implement a solution, and verify and validate the result, all as part of a team effort. The role of digital computers in modern society are investigated including the dangers of computer misuse, as well as the proper and intelligent use of computers. Ethical concerns of software professionals are studied. ",3,LEC,2010,Fall,TRUE

COMP 490L,Computer Science,Senior Design Project Lab,Three hours lab work per week. Real-world project implementation in the academic enrironment.,1,LAB,2010,Fall,TRUE

COMP 491L,Computer Science,Senior Project Lab,"Project-oriented laboratory to allow students complete the design, implementation, and testing of the team based software engineering project started in COMP 490L. ",1,LAB,2010,Fall,TRUE
COMP 410,Computer Science,Logic Programming,"Programming techniques in the logic programming language PROLOG. Prenex conjunctive normal form and grammatical algorithms. Tableaux, sequenzen, resolution, and other semi-decision procedures. Closures of relations, fixed point theory, control mechanisms, relationship to functional programming.",3,LEC,2011,Spring,TRUE

COMP 424,Computer Science,Computer System Security,"Analysis of the need for computer system security, and the security techniques in operating systems, data bases, and computer networks. Supporting techniques such as auditing, risk analysis, and cost-benefit tradeoffs are discussed.",3,LEC,2011,Spring,TRUE

COMP 426,Computer Science,Fault-Tolerant Software and Computing,"An examination of dependability requirements in computing, and the basic principles of system-level reliability and fault-tolerance. Software-based implementation of fault-tolerance in distributed systems. Fault-tolerant software and data bases: reliability modeling, fault-tolerance techniques (e.g., recovery blocks, N-version programming), and design approaches.",3,LEC,2011,Spring,TRUE

COMP 429,Computer Science,Computer Network Software,"Basic software design and analysis considerations in networking computers into coherent, cooperating systems capable of processing computational tasks in a distributed manner. Network topology, routing procedures, message multiplexing and process scheduling techniques.",3,LEC,2011,Spring,TRUE
